caseType,season,pitcher,team,role,full_bbe,full_lbi_events,full_hr,current_getting_cooked_plus,lbi_event_rate_plus,lbi_severity_per_event_plus,lbi_per_bbe_plus,lbi_blend_plus,actual_hr_per_bbe_plus,barrel_rate_plus,adjusted_xhr_per_bbe_allowed,rate_rank,severity_rank,blend_rank
"High severity, lower frequency",2025,Kumar Rocker,TEX,SP,203,12.0,11,128.4,106.28087719910465,116.01761806325604,123.31432064607088,123.30454218313541,119.37692801075104,137.0005269448764,0.047,166.0,2.0,100.0
"High severity, lower frequency",2025,Trevor Rogers,BAL,SP,289,10.0,6,71.7,62.21170147467776,116.00399428129576,72.17378178960053,72.16805862098197,45.737998841489386,88.21285371046973,0.0318,296.0,3.0,280.0
"High severity, lower frequency",2025,Tim Hill,NYY,RP,213,10.0,8,74.5,84.40930387878812,113.2127252715641,95.56965169622237,95.5620733039321,82.74354719994011,92.48607560382796,0.0358,241.0,5.0,200.0
"High severity, lower frequency",2025,Daniel Lynch IV,KC,RP,211,10.0,8,86.7,85.20939206721266,111.79769390896875,95.26968993120008,95.26213532499551,83.52784622553196,93.36272087021496,0.0341,238.0,8.0,203.0
"High severity, lower frequency",2025,George Kirby,SEA,SP,350,15.0,15,97.6,77.05363596935088,111.66187216055694,86.04635571408629,86.0395324911575,94.41629760850309,99.3253820350354,0.0372,265.0,9.0,237.0
"High severity, lower frequency",2025,Dustin May,BOS,SP,392,23.0,21,124.5,105.49009686280179,110.61554468764172,116.69769902061037,116.68844523630904,118.02037201062886,106.42005218039509,0.0515,168.0,10.0,131.0
"High severity, lower frequency",2025,Framber Valdez,HOU,SP,539,18.0,15,55.1,60.04179426183185,110.52589669280638,66.36699420578171,66.36173149833964,61.309284161365646,77.39640158574187,0.025,301.0,11.0,292.0
"High severity, lower frequency",2025,Tony Santillan,CIN,RP,192,8.0,7,79.4,74.91325719242445,109.01213914414407,81.67102043972652,81.66454416801626,80.31941984056687,96.56634364517329,0.0248,275.0,13.0,249.0
"High severity, lower frequency",2025,Jake Bird,NYY,RP,154,9.0,7,89.3,105.07313995820573,108.56039890570925,114.07686584132092,114.06781988138233,100.1384974635639,97.82045200420154,0.0384,170.0,16.0,139.0
"High severity, lower frequency",2025,Shane Smith,CWS,SP,398,20.0,17,97.8,90.34764686523555,108.42000252493952,97.96268916563501,97.95492101251182,94.09999510395198,78.61179733928681,0.045,220.0,18.0,192.0
"High severity, lower frequency",2025,Michael McGreevy,STL,SP,317,14.0,12,75.2,79.40332623550353,107.81920530634638,85.61882465489879,85.61203533392555,83.39609883400904,102.35423175008906,0.0369,259.0,20.0,238.0
"High severity, lower frequency",2025,Ranger Suarez,PHI,SP,455,14.0,14,75.0,55.320559157482684,107.69203056571415,59.5805580400146,59.57583347700023,67.7860598214894,63.67011668912526,0.0302,307.0,23.0,304.0
"High severity, lower frequency",2025,Freddy Peralta,MIL,SP,444,22.0,21,108.2,89.08603558018045,107.45089520138227,95.73133394354272,95.7237427303258,104.19816627965432,107.00594836357043,0.0459,225.0,27.0,199.0
"High severity, lower frequency",2025,Noah Cameron,KC,SP,396,21.0,18,109.6,95.34414551763113,107.42601307095266,102.43253682505443,102.42441422615853,100.1384974635639,73.1563209433131,0.0452,198.0,29.0,172.0
"High severity, lower frequency",2025,José Soriano,LAA,SP,485,14.0,12,42.0,51.8986689003188,106.54949748106502,55.302156210984414,55.29777091265146,54.50837800078529,83.62446253808821,0.0229,308.0,33.0,307.0
"High severity, lower frequency",2025,Enyel De Los Santos,HOU,RP,192,9.0,7,101.1,84.27741434147752,106.3117828944695,89.6039270916596,89.59682176378409,80.31941984056687,102.60174012299665,0.0359,242.0,34.0,219.0
"High severity, lower frequency",2025,Tyler Kinley,ATL,RP,199,10.0,6,76.8,90.34764686523555,106.25442601388583,96.00598658607223,95.99837359370854,66.42352595573081,81.52334538889004,0.0325,220.0,35.0,197.0
"High severity, lower frequency",2025,Jack Leiter,TEX,SP,425,23.0,18,111.3,97.299101106396,105.99252384069622,103.13795147318264,103.12977293697989,93.30551763663836,125.42263927561332,0.0471,195.0,39.0,169.0
"High severity, lower frequency",2025,Michael Wacha,KC,SP,538,24.0,15,81.1,80.20452814653623,105.95275781523495,84.98564857592397,84.97890946395148,61.42324193861725,86.15584563138138,0.0337,257.0,40.0,240.0
"High severity, lower frequency",2025,Hunter Brown,HOU,SP,458,24.0,17,71.9,94.2140527136168,105.91373966291562,99.79353985117986,99.78562651698216,81.7724848283251,68.31330860488242,0.0352,204.0,41.0,185.0
"High severity, lower frequency",2025,Kris Bubic,KC,SP,317,9.0,6,33.2,51.044995437109414,105.74557278073887,53.98210342290277,53.977822800873376,41.69804941700452,76.7656738125668,0.0181,309.0,44.0,309.0
"High severity, lower frequency",2025,Cristopher Sánchez,PHI,SP,542,18.0,12,47.4,59.709459607246075,105.54225389366256,63.02370705181756,63.01870945721353,48.775947104023736,66.27800707749903,0.022,302.0,49.0,295.0
"High severity, lower frequency",2025,Kevin Gausman,TOR,SP,531,22.0,21,82.3,74.49001845122433,105.36124643467843,78.48983592276645,78.4836119096319,87.12615033553017,98.20306133407453,0.0359,277.0,51.0,263.0
