predictor,target,split,n,pearson,spearman
Current Getting Cooked composite,future actual HR/BBE,ALL,690,0.16068946572828668,0.17129047826173435
Current Getting Cooked composite,future actual HR/BBE,SP,524,0.19290947823892948,0.20682839484052315
Current Getting Cooked composite,future actual HR/BBE,RP,166,0.05122800331233745,0.0595218028643134
Current Getting Cooked composite,future barrel% allowed,ALL,690,0.20417333655746103,0.20752294303885233
Current Getting Cooked composite,future barrel% allowed,SP,524,0.24524210453387557,0.24046395101738316
Current Getting Cooked composite,future barrel% allowed,RP,166,0.06878647478139693,0.09262414752523877
Current Getting Cooked composite,future LBI event rate,ALL,690,0.16854762093945516,0.1932660427399852
Current Getting Cooked composite,future LBI event rate,SP,524,0.21515410980603947,0.22922097801179855
Current Getting Cooked composite,future LBI event rate,RP,166,0.01073511654340803,0.05442263874751623
Current Getting Cooked composite,future LBI per BBE blend,ALL,690,0.16038210893841642,0.18614112520332074
Current Getting Cooked composite,future LBI per BBE blend,SP,524,0.20447072821718262,0.22156337132018067
Current Getting Cooked composite,future LBI per BBE blend,RP,166,0.013099832099660504,0.055758000285685706
HR-capable/LBI events per BBE,future actual HR/BBE,ALL,696,0.19830138591391175,0.22432163530695273
HR-capable/LBI events per BBE,future actual HR/BBE,SP,526,0.23688161231999844,0.259805698331572
HR-capable/LBI events per BBE,future actual HR/BBE,RP,170,0.057517296667149255,0.088817388417358
HR-capable/LBI events per BBE,future barrel% allowed,ALL,696,0.2116340284705129,0.21909543068797088
HR-capable/LBI events per BBE,future barrel% allowed,SP,526,0.2605609915311062,0.2571490690827442
HR-capable/LBI events per BBE,future barrel% allowed,RP,170,0.04509290444199794,0.06267445617033965
HR-capable/LBI events per BBE,future LBI event rate,ALL,696,0.249365017029059,0.2798391759941935
HR-capable/LBI events per BBE,future LBI event rate,SP,526,0.2852546925140749,0.30467243439807695
HR-capable/LBI events per BBE,future LBI event rate,RP,170,0.09746094315359348,0.14030513170216183
HR-capable/LBI events per BBE,future LBI per BBE blend,ALL,696,0.24570728525530264,0.2736122212286276
HR-capable/LBI events per BBE,future LBI per BBE blend,SP,526,0.27821988388480123,0.2980044807363015
HR-capable/LBI events per BBE,future LBI per BBE blend,RP,170,0.10872995353634252,0.14648682712845743
Inverted LBI severity per event,future actual HR/BBE,ALL,696,-0.06545712140207367,-0.0698242454008274
Inverted LBI severity per event,future actual HR/BBE,SP,526,-0.05335046680230764,-0.049504830483774576
Inverted LBI severity per event,future actual HR/BBE,RP,170,-0.08566680949881489,-0.11137531922052715
Inverted LBI severity per event,future barrel% allowed,ALL,696,0.01618348670622097,0.0036545205238154403
Inverted LBI severity per event,future barrel% allowed,SP,526,0.04430572911043453,0.02064308588081446
Inverted LBI severity per event,future barrel% allowed,RP,170,-0.042933199075368265,-0.021750241667423294
Inverted LBI severity per event,future LBI event rate,ALL,696,-0.08202790089707598,-0.09237729652272342
Inverted LBI severity per event,future LBI event rate,SP,526,-0.059185482444422566,-0.060349753668698346
Inverted LBI severity per event,future LBI event rate,RP,170,-0.12461266947497718,-0.16164241355879158
Inverted LBI severity per event,future LBI per BBE blend,ALL,696,-0.06114124538858541,-0.07477928407780875
Inverted LBI severity per event,future LBI per BBE blend,SP,526,-0.042504552775690804,-0.044792049531697874
Inverted LBI severity per event,future LBI per BBE blend,RP,170,-0.09375727724117172,-0.1319129707317371
Inverted LBI per BBE blend,future actual HR/BBE,ALL,696,0.18674216442535538,0.21368916947934943
Inverted LBI per BBE blend,future actual HR/BBE,SP,526,0.2245825584393706,0.24916434166050763
Inverted LBI per BBE blend,future actual HR/BBE,RP,170,0.04322440740088907,0.07443951446159122
Inverted LBI per BBE blend,future barrel% allowed,ALL,696,0.21265367991347767,0.21857024258797736
Inverted LBI per BBE blend,future barrel% allowed,SP,526,0.26054232878341776,0.25644581852209297
Inverted LBI per BBE blend,future barrel% allowed,RP,170,0.04227676020579912,0.061377963121906055
Inverted LBI per BBE blend,future LBI event rate,ALL,696,0.23459513197549017,0.2625712402358297
Inverted LBI per BBE blend,future LBI event rate,SP,526,0.2702227544764338,0.29052619305959665
Inverted LBI per BBE blend,future LBI event rate,RP,170,0.07981065964931587,0.11308569300851326
Inverted LBI per BBE blend,future LBI per BBE blend,ALL,696,0.23420401297199506,0.2602798896785209
Inverted LBI per BBE blend,future LBI per BBE blend,SP,526,0.26612163346434725,0.2863141989286822
Inverted LBI per BBE blend,future LBI per BBE blend,RP,170,0.09594453913439153,0.12711085056881677
Rate x severity blend,future actual HR/BBE,ALL,696,0.18695897017435928,0.21402494655725401
Rate x severity blend,future actual HR/BBE,SP,526,0.224680592471392,0.2495112786051412
Rate x severity blend,future actual HR/BBE,RP,170,0.04361820577580448,0.07336476962186424
Rate x severity blend,future barrel% allowed,ALL,696,0.21416470548952177,0.22026229689103488
Rate x severity blend,future barrel% allowed,SP,526,0.2620337858963765,0.2578566121010065
Rate x severity blend,future barrel% allowed,RP,170,0.04373199138922407,0.06271407207716244
Rate x severity blend,future LBI event rate,ALL,696,0.23466420079024103,0.26264747884698664
Rate x severity blend,future LBI event rate,SP,526,0.27031556539062185,0.29071250417698224
Rate x severity blend,future LBI event rate,RP,170,0.07962959326470533,0.1111792329054149
Rate x severity blend,future LBI per BBE blend,ALL,696,0.23430770990373215,0.2602858691624843
Rate x severity blend,future LBI per BBE blend,SP,526,0.26629971787809026,0.2864690524805531
Rate x severity blend,future LBI per BBE blend,RP,170,0.09568569082362241,0.12463651296706786
Actual HR/BBE,future actual HR/BBE,ALL,696,0.17421787681376733,0.2120359039928742
Actual HR/BBE,future actual HR/BBE,SP,526,0.21043615867047033,0.23310333445729223
Actual HR/BBE,future actual HR/BBE,RP,170,0.05721794562502762,0.13060013654333857
Actual HR/BBE,future barrel% allowed,ALL,696,0.16903181361185612,0.17666101245456528
Actual HR/BBE,future barrel% allowed,SP,526,0.21602522799867974,0.21239821252693647
Actual HR/BBE,future barrel% allowed,RP,170,0.019897195828644642,0.053886602668256366
Actual HR/BBE,future LBI event rate,ALL,696,0.1728877301385418,0.2024501717153653
Actual HR/BBE,future LBI event rate,SP,526,0.22090151753906845,0.23610793738265365
Actual HR/BBE,future LBI event rate,RP,170,0.014435623130368294,0.06437524502837214
Actual HR/BBE,future LBI per BBE blend,ALL,696,0.16079732403446614,0.1894072497228618
Actual HR/BBE,future LBI per BBE blend,SP,526,0.20508966655492586,0.2221593169504621
Actual HR/BBE,future LBI per BBE blend,RP,170,0.015404539449413756,0.05887374618820864
Barrel% allowed,future actual HR/BBE,ALL,696,0.13667588329607178,0.16422072336191146
Barrel% allowed,future actual HR/BBE,SP,526,0.16731085107959326,0.1867561441362361
Barrel% allowed,future actual HR/BBE,RP,170,0.04202277015296739,0.09233851614124401
Barrel% allowed,future barrel% allowed,ALL,696,0.18562825138477096,0.20344505623757814
Barrel% allowed,future barrel% allowed,SP,526,0.2398938081789076,0.24849996705863217
Barrel% allowed,future barrel% allowed,RP,170,0.021845794740940297,0.06064410623934249
Barrel% allowed,future LBI event rate,ALL,696,0.1520020888318379,0.1739176704735908
Barrel% allowed,future LBI event rate,SP,526,0.1976401187193226,0.2096193591136881
Barrel% allowed,future LBI event rate,RP,170,0.011811855118883543,0.051296237268766046
Barrel% allowed,future LBI per BBE blend,ALL,696,0.15482440635093053,0.17948166361195073
Barrel% allowed,future LBI per BBE blend,SP,526,0.19930540799381063,0.21614496474690634
Barrel% allowed,future LBI per BBE blend,RP,170,0.02019018785417072,0.05116859610935107
Adjusted xHR/BBE allowed,future actual HR/BBE,ALL,690,0.17160242410742305,0.18437821454035183
Adjusted xHR/BBE allowed,future actual HR/BBE,SP,524,0.20136900964529664,0.20855120819296782
Adjusted xHR/BBE allowed,future actual HR/BBE,RP,166,0.059539320112159747,0.0911283975685116
Adjusted xHR/BBE allowed,future barrel% allowed,ALL,690,0.16262472955521784,0.16455255818796125
Adjusted xHR/BBE allowed,future barrel% allowed,SP,524,0.20551051326989236,0.19658520628199072
Adjusted xHR/BBE allowed,future barrel% allowed,RP,166,0.011467704843004856,0.04077768225040382
Adjusted xHR/BBE allowed,future LBI event rate,ALL,690,0.1790085668205444,0.19813492844909275
Adjusted xHR/BBE allowed,future LBI event rate,SP,524,0.22267700647935074,0.23027524633301125
Adjusted xHR/BBE allowed,future LBI event rate,RP,166,0.014145828645098838,0.05330135188559081
Adjusted xHR/BBE allowed,future LBI per BBE blend,ALL,690,0.17075890516202769,0.18937241312081426
Adjusted xHR/BBE allowed,future LBI per BBE blend,SP,524,0.21170848915389534,0.2204982223639204
Adjusted xHR/BBE allowed,future LBI per BBE blend,RP,166,0.018352393497727652,0.05321611310440886
HR-window Thunder,future actual HR/BBE,ALL,696,0.06058770240102934,0.06982659165301708
HR-window Thunder,future actual HR/BBE,SP,526,0.08059142820141546,0.10723735937313345
HR-window Thunder,future actual HR/BBE,RP,170,-0.000978912346119561,-0.020721056891588967
HR-window Thunder,future barrel% allowed,ALL,696,0.12226262836902031,0.13616890273958393
HR-window Thunder,future barrel% allowed,SP,526,0.15035259991258607,0.159886999488747
HR-window Thunder,future barrel% allowed,RP,170,0.0435794016727197,0.06628983349567585
HR-window Thunder,future LBI event rate,ALL,696,0.06559413393680345,0.08565922068569504
HR-window Thunder,future LBI event rate,SP,526,0.08337062125168623,0.11436868536064437
HR-window Thunder,future LBI event rate,RP,170,0.0011911795531029767,-0.001618926355698781
HR-window Thunder,future LBI per BBE blend,ALL,696,0.0643499073358618,0.08140689782431638
HR-window Thunder,future LBI per BBE blend,SP,526,0.07732751960949388,0.10836464438984732
HR-window Thunder,future LBI per BBE blend,RP,170,0.01301688052740466,0.003006976996768667
