test,metric,split,n,pearson,spearman
YoY,Current Getting Cooked composite,ALL,687,0.20203801785193679,0.2184479677490857
YoY,Current Getting Cooked composite,SP,523,0.2304249365325135,0.24980133023084033
YoY,Current Getting Cooked composite,RP,164,0.09652976377141236,0.10571031161707044
YoY,HR-capable/LBI events per BBE,ALL,696,0.2539281443898502,0.27910787964088446
YoY,HR-capable/LBI events per BBE,SP,526,0.29613411008559226,0.31084266834032065
YoY,HR-capable/LBI events per BBE,RP,170,0.08630566166577112,0.11753994400361252
YoY,Inverted LBI severity per event,ALL,696,0.12191592178633337,0.11000424614545735
YoY,Inverted LBI severity per event,SP,526,0.10342368605346021,0.11336727110812435
YoY,Inverted LBI severity per event,RP,170,0.15371123786317945,0.09897472536196043
YoY,Inverted LBI per BBE blend,ALL,696,0.23740301919301784,0.2597578237810484
YoY,Inverted LBI per BBE blend,SP,526,0.2753756947663089,0.2921583950641461
YoY,Inverted LBI per BBE blend,RP,170,0.08329385093138438,0.10469037194448007
YoY,Rate x severity blend,ALL,696,0.23737038424465343,0.259778965527919
YoY,Rate x severity blend,SP,526,0.2754944084757096,0.29248121277211975
YoY,Rate x severity blend,RP,170,0.08249214568686085,0.1006869767527067
YoY,Actual HR/BBE,ALL,696,0.18011489289525884,0.21570816248489322
YoY,Actual HR/BBE,SP,526,0.21969713741960326,0.24169951741394693
YoY,Actual HR/BBE,RP,170,0.05509122377513641,0.11569233550032303
YoY,Barrel% allowed,ALL,696,0.19789507951877172,0.21320337793049995
YoY,Barrel% allowed,SP,526,0.24855811413433637,0.25158094726863767
YoY,Barrel% allowed,RP,170,0.04504668395448042,0.0909807590260192
YoY,HR-window Thunder,ALL,696,0.05889166865689207,0.07688834470209456
YoY,HR-window Thunder,SP,526,0.04784752112173239,0.06970782209923337
YoY,HR-window Thunder,RP,170,0.0713024783403359,0.08818309623531047
Split-half,HR-capable/LBI events per BBE,ALL,1253,0.0722934724908319,0.0841808055824824
Split-half,HR-capable/LBI events per BBE,SP,763,0.1691654614083125,0.20113049067165012
Split-half,HR-capable/LBI events per BBE,RP,490,-0.058108796493391054,-0.07544583609038572
Split-half,Inverted LBI severity per event,ALL,1249,0.10801970526445084,0.10480746443308495
Split-half,Inverted LBI severity per event,SP,759,0.07415948798114215,0.09105243397793344
Split-half,Inverted LBI severity per event,RP,490,0.1373636845677141,0.1257743935728553
Split-half,Inverted LBI per BBE blend,ALL,1253,0.07846199374269046,0.08290491302708444
Split-half,Inverted LBI per BBE blend,SP,763,0.16987857138995205,0.1979784192215832
Split-half,Inverted LBI per BBE blend,RP,490,-0.043359521338718815,-0.07086133092548305
Split-half,Actual HR/BBE,ALL,1253,0.051170340881722925,0.07895574351876215
Split-half,Actual HR/BBE,SP,763,0.1623304574449451,0.1830607775344014
Split-half,Actual HR/BBE,RP,490,-0.07565333954967834,-0.05347065049018941
Split-half,Barrel% allowed,ALL,1253,0.0957915611158349,0.11187838830161316
Split-half,Barrel% allowed,SP,763,0.205007266859609,0.21439986777592196
Split-half,Barrel% allowed,RP,490,-0.017658268806688963,-0.013995283878804284
Split-half,HR-window Thunder,ALL,1253,0.020858857639672646,0.027652311092919123
Split-half,HR-window Thunder,SP,763,0.10877009395841246,0.08925083822554791
Split-half,HR-window Thunder,RP,490,-0.060260943407615335,-0.045546320288207966
