# Traffic Response Diagnostic

Season: 2025. Base state from first pitch of PA; outcome from terminal pitch. Gate: IP >= 40, men-on PA >= 50, RISP PA >= 25.
Loaded pitches: 712,528; terminal PA: 183,245; qualified pitchers for response board: 401.
LOB% is a rough context proxy from season totals using ER as runs proxy; it is not a headline input.

## Top Men-On K-BB+ (Traffic K-BB+)
| # | Pitcher | Team | Role | IP | Score | MenOn PA | MenOn K-BB% | Empty K-BB% | Delta | RISP K-BB% | TC+ | WHIP | xWHIP | LOB% proxy |
|---:|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 1 | Chapman, Aroldis | Boston Red Sox | reliever | 61.3 | 286 | 89 | 38.2% | 25.9% | +12.3% | 32.0% | 283 | 0.701 | 0.886 | 80.0% |
| 2 | Ragans, Cole | Kansas City Royals | starter | 61.7 | 273 | 96 | 36.5% | 26.7% | +9.8% | 28.3% | 237 | 1.184 | 1.046 | 51.5% |
| 3 | Abreu, Bryan | Houston Astros | reliever | 71.0 | 246 | 149 | 32.9% | 16.9% | +16.0% | 34.1% | 183 | 1.155 | 1.115 | 76.9% |
| 4 | Bednar, David | New York Yankees | reliever | 62.7 | 237 | 104 | 31.7% | 23.0% | +8.8% | 31.7% | 213 | 1.037 | 1.021 | 73.8% |
| 5 | Speier, Gabe | Seattle Mariners | reliever | 62.0 | 228 | 105 | 30.5% | 28.3% | +2.2% | 28.3% | 261 | 0.871 | 0.914 | 63.3% |
| 6 | Wheeler, Zack | Philadelphia Phillies | starter | 149.7 | 224 | 200 | 30.0% | 26.4% | +3.6% | 31.8% | 229 | 0.935 | 0.988 | 62.8% |
| 7 | Díaz, Edwin | New York Mets | reliever | 66.3 | 224 | 117 | 29.9% | 29.6% | +0.3% | 25.0% | 263 | 0.874 | 0.925 | 77.8% |
| 8 | Pagán, Emilio | Cincinnati Reds | reliever | 68.7 | 221 | 105 | 29.5% | 17.0% | +12.6% | 30.2% | 159 | 0.917 | 1.122 | 58.5% |
| 9 | King, Bryan | Houston Astros | reliever | 68.0 | 219 | 123 | 29.3% | 14.5% | +14.8% | 26.8% | 159 | 1.044 | 1.082 | 65.6% |
| 10 | Ohtani, Shohei | Los Angeles Dodgers | starter | 47.0 | 215 | 66 | 28.8% | 28.9% | -0.1% | 27.3% | 240 | 1.043 | 0.960 | 67.4% |
| 11 | Cleavinger, Garrett | Tampa Bay Rays | reliever | 61.3 | 215 | 94 | 28.7% | 24.8% | +3.9% | 25.0% | 206 | 0.946 | 1.042 | 67.3% |
| 12 | Hader, Josh | Houston Astros | reliever | 52.7 | 209 | 86 | 27.9% | 30.0% | -2.1% | 25.0% | 235 | 0.854 | 1.013 | 67.6% |
| 13 | Sale, Chris | Atlanta Braves | starter | 125.7 | 206 | 207 | 27.5% | 24.8% | +2.8% | 27.6% | 211 | 1.066 | 1.010 | 70.7% |
| 14 | Burns, Chase | Cincinnati Reds | starter | 43.3 | 205 | 84 | 27.4% | 26.7% | +0.7% | 24.5% | 193 | 1.315 | 1.149 | 57.7% |
| 15 | Smith, Cade | Cleveland Guardians | reliever | 73.7 | 204 | 136 | 27.2% | 29.1% | -1.9% | 21.1% | 237 | 1.005 | 0.975 | 65.7% |
| 16 | Gilbert, Logan | Seattle Mariners | starter | 131.0 | 203 | 184 | 27.2% | 26.2% | +1.0% | 28.4% | 204 | 1.031 | 1.059 | 56.5% |
| 17 | Rodríguez, Randy | San Francisco Giants | reliever | 50.7 | 203 | 96 | 27.1% | 29.1% | -2.0% | 28.8% | 246 | 0.888 | 0.938 | 75.6% |
| 18 | Lee, Dylan | Atlanta Braves | reliever | 68.3 | 199 | 94 | 26.6% | 21.5% | +5.1% | 16.1% | 176 | 0.980 | 1.080 | 53.7% |
| 19 | Skubal, Tarik | Detroit Tigers | starter | 195.3 | 198 | 230 | 26.5% | 28.3% | -1.7% | 28.4% | 244 | 0.891 | 0.929 | 69.2% |
| 20 | Estrada, Jeremiah | San Diego Padres | reliever | 73.0 | 198 | 136 | 26.5% | 26.8% | -0.3% | 29.2% | 191 | 1.164 | 1.139 | 61.6% |
| 21 | Woodruff, Brandon | Milwaukee Brewers | starter | 64.7 | 196 | 80 | 26.2% | 27.1% | -0.9% | 26.8% | 216 | 0.912 | 1.016 | 54.0% |
| 22 | Greene, Hunter | Cincinnati Reds | starter | 107.7 | 193 | 124 | 25.8% | 25.0% | +0.8% | 21.9% | 198 | 0.938 | 1.039 | 61.6% |
| 23 | McLean, Nolan | New York Mets | starter | 48.0 | 187 | 68 | 25.0% | 20.0% | +5.0% | 29.0% | 165 | 1.042 | 1.077 | 76.1% |
| 24 | Patrick, Chad | Milwaukee Brewers | starter | 119.7 | 186 | 213 | 24.9% | 11.6% | +13.2% | 22.9% | 116 | 1.279 | 1.213 | 66.4% |
| 25 | Rogers, Trevor | Baltimore Orioles | starter | 109.7 | 185 | 158 | 24.7% | 13.2% | +11.5% | 22.5% | 134 | 0.903 | 1.064 | 76.3% |

## Top RISP K-BB+
| # | Pitcher | Team | Role | IP | Score | MenOn PA | MenOn K-BB% | Empty K-BB% | Delta | RISP K-BB% | TC+ | WHIP | xWHIP | LOB% proxy |
|---:|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 1 | Abreu, Bryan | Houston Astros | reliever | 71.0 | 273 | 149 | 32.9% | 16.9% | +16.0% | 34.1% | 183 | 1.155 | 1.115 | 76.9% |
| 2 | Chapman, Aroldis | Boston Red Sox | reliever | 61.3 | 256 | 89 | 38.2% | 25.9% | +12.3% | 32.0% | 283 | 0.701 | 0.886 | 80.0% |
| 3 | Wheeler, Zack | Philadelphia Phillies | starter | 149.7 | 254 | 200 | 30.0% | 26.4% | +3.6% | 31.8% | 229 | 0.935 | 0.988 | 62.8% |
| 4 | Bednar, David | New York Yankees | reliever | 62.7 | 254 | 104 | 31.7% | 23.0% | +8.8% | 31.7% | 213 | 1.037 | 1.021 | 73.8% |
| 5 | Pagán, Emilio | Cincinnati Reds | reliever | 68.7 | 241 | 105 | 29.5% | 17.0% | +12.6% | 30.2% | 159 | 0.917 | 1.122 | 58.5% |
| 6 | Estrada, Jeremiah | San Diego Padres | reliever | 73.0 | 233 | 136 | 26.5% | 26.8% | -0.3% | 29.2% | 191 | 1.164 | 1.139 | 61.6% |
| 7 | McLean, Nolan | New York Mets | starter | 48.0 | 232 | 68 | 25.0% | 20.0% | +5.0% | 29.0% | 165 | 1.042 | 1.077 | 76.1% |
| 8 | Rodríguez, Randy | San Francisco Giants | reliever | 50.7 | 230 | 96 | 27.1% | 29.1% | -2.0% | 28.8% | 246 | 0.888 | 0.938 | 75.6% |
| 9 | Skubal, Tarik | Detroit Tigers | starter | 195.3 | 227 | 230 | 26.5% | 28.3% | -1.7% | 28.4% | 244 | 0.891 | 0.929 | 69.2% |
| 10 | Gilbert, Logan | Seattle Mariners | starter | 131.0 | 227 | 184 | 27.2% | 26.2% | +1.0% | 28.4% | 204 | 1.031 | 1.059 | 56.5% |
| 11 | Speier, Gabe | Seattle Mariners | reliever | 62.0 | 227 | 105 | 30.5% | 28.3% | +2.2% | 28.3% | 261 | 0.871 | 0.914 | 63.3% |
| 12 | Ragans, Cole | Kansas City Royals | starter | 61.7 | 226 | 96 | 36.5% | 26.7% | +9.8% | 28.3% | 237 | 1.184 | 1.046 | 51.5% |
| 13 | Sale, Chris | Atlanta Braves | starter | 125.7 | 221 | 207 | 27.5% | 24.8% | +2.8% | 27.6% | 211 | 1.066 | 1.010 | 70.7% |
| 14 | Okert, Steven | Houston Astros | reliever | 71.7 | 220 | 120 | 21.7% | 25.0% | -3.3% | 27.5% | 191 | 0.893 | 1.006 | 58.6% |
| 15 | Ohtani, Shohei | Los Angeles Dodgers | starter | 47.0 | 218 | 66 | 28.8% | 28.9% | -0.1% | 27.3% | 240 | 1.043 | 0.960 | 67.4% |
| 16 | Woodruff, Brandon | Milwaukee Brewers | starter | 64.7 | 214 | 80 | 26.2% | 27.1% | -0.9% | 26.8% | 216 | 0.912 | 1.016 | 54.0% |
| 17 | King, Bryan | Houston Astros | reliever | 68.0 | 214 | 123 | 29.3% | 14.5% | +14.8% | 26.8% | 159 | 1.044 | 1.082 | 65.6% |
| 18 | Oviedo, Johan | Pittsburgh Pirates | starter | 40.3 | 213 | 74 | 14.9% | 8.2% | +6.6% | 26.7% | 65 | 1.215 | 1.411 | 62.8% |
| 19 | Misiorowski, Jacob | Milwaukee Brewers | starter | 66.0 | 207 | 110 | 16.4% | 24.1% | -7.7% | 25.9% | 137 | 1.242 | 1.225 | 56.8% |
| 20 | Cleavinger, Garrett | Tampa Bay Rays | reliever | 61.3 | 200 | 94 | 28.7% | 24.8% | +3.9% | 25.0% | 206 | 0.946 | 1.042 | 67.3% |
| 21 | Díaz, Edwin | New York Mets | reliever | 66.3 | 200 | 117 | 29.9% | 29.6% | +0.3% | 25.0% | 263 | 0.874 | 0.925 | 77.8% |
| 22 | Crochet, Garrett | Boston Red Sox | starter | 205.3 | 200 | 299 | 20.4% | 28.5% | -8.1% | 25.0% | 204 | 1.028 | 1.026 | 68.4% |
| 23 | Hader, Josh | Houston Astros | reliever | 52.7 | 200 | 86 | 27.9% | 30.0% | -2.1% | 25.0% | 235 | 0.854 | 1.013 | 67.6% |
| 24 | Burns, Chase | Cincinnati Reds | starter | 43.3 | 196 | 84 | 27.4% | 26.7% | +0.7% | 24.5% | 193 | 1.315 | 1.149 | 57.7% |
| 25 | Blanco, Ronel | Houston Astros | starter | 48.3 | 195 | 74 | 17.6% | 12.0% | +5.6% | 24.4% | 88 | 1.179 | 1.298 | 56.0% |

## Biggest Men-On Risers vs Bases Empty
| # | Pitcher | Team | Role | IP | Score | MenOn PA | MenOn K-BB% | Empty K-BB% | Delta | RISP K-BB% | TC+ | WHIP | xWHIP | LOB% proxy |
|---:|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|---:|
| 1 | Melton, Troy | Detroit Tigers | reliever | 45.7 | 0 | 72 | 23.6% | 3.7% | +19.9% | 17.6% | 76 | 1.007 | 1.245 | 64.1% |
| 2 | Gil, Luis | New York Yankees | starter | 57.0 | 0 | 114 | 12.3% | -4.6% | +16.9% | 13.2% | 18 | 1.404 | 1.503 | 72.0% |
| 3 | Abreu, Bryan | Houston Astros | reliever | 71.0 | 0 | 149 | 32.9% | 16.9% | +16.0% | 34.1% | 183 | 1.155 | 1.115 | 76.9% |
| 4 | Domínguez, Seranthony | Toronto Blue Jays | reliever | 62.7 | 0 | 138 | 23.9% | 8.0% | +15.9% | 20.0% | 103 | 1.277 | 1.299 | 70.7% |
| 5 | King, Bryan | Houston Astros | reliever | 68.0 | 0 | 123 | 29.3% | 14.5% | +14.8% | 26.8% | 159 | 1.044 | 1.082 | 65.6% |
| 6 | Vodnik, Victor | Colorado Rockies | reliever | 50.7 | 0 | 107 | 17.8% | 3.7% | +14.1% | 12.3% | 64 | 1.401 | 1.372 | 74.6% |
| 7 | Patrick, Chad | Milwaukee Brewers | starter | 119.7 | 0 | 213 | 24.9% | 11.6% | +13.2% | 22.9% | 116 | 1.279 | 1.213 | 66.4% |
| 8 | Pagán, Emilio | Cincinnati Reds | reliever | 68.7 | 0 | 105 | 29.5% | 17.0% | +12.6% | 30.2% | 159 | 0.917 | 1.122 | 58.5% |
| 9 | Chapman, Aroldis | Boston Red Sox | reliever | 61.3 | 0 | 89 | 38.2% | 25.9% | +12.3% | 32.0% | 283 | 0.701 | 0.886 | 80.0% |
