kind,target,scenario,split,exclude_2020,model,bucket,n,avg_score,future_value
decile,era,season_to_next,all,False,CCR,1,225,4.2426462096783935,3.631885791165259
decile,era,season_to_next,all,False,CCR,2,225,3.5362686863909536,3.79061494635695
decile,era,season_to_next,all,False,CCR,3,225,3.2717064563274483,3.93755146856986
decile,era,season_to_next,all,False,CCR,4,224,3.0809115002423546,4.098340752731688
decile,era,season_to_next,all,False,CCR,5,225,2.931026023513633,3.951501968413474
decile,era,season_to_next,all,False,CCR,6,225,2.8026515238509737,4.105286151157711
decile,era,season_to_next,all,False,CCR,7,224,2.6763724944689735,4.193531379536034
decile,era,season_to_next,all,False,CCR,8,225,2.5447839855859384,4.068348832672172
decile,era,season_to_next,all,False,CCR,9,225,2.3843540082615204,4.310462589257995
decile,era,season_to_next,all,False,CCR,10,225,2.105963536678085,4.324268550742381
decile,era,season_to_next,all,False,EDF,1,225,3.1634018172369087,3.2844492821840428
decile,era,season_to_next,all,False,EDF,2,225,3.5722663546378697,3.4523686002399407
decile,era,season_to_next,all,False,EDF,3,225,3.743375014871082,3.8616902727757236
decile,era,season_to_next,all,False,EDF,4,224,3.8668860855435847,3.8155417995767937
decile,era,season_to_next,all,False,EDF,5,225,3.9883531775007133,4.001319065442134
decile,era,season_to_next,all,False,EDF,6,225,4.095184488903683,4.085223324278223
decile,era,season_to_next,all,False,EDF,7,224,4.2062945101521025,4.255367382317642
decile,era,season_to_next,all,False,EDF,8,225,4.340001141442574,4.354361820199778
decile,era,season_to_next,all,False,EDF,9,225,4.494081284177327,4.4625287136294025
decile,era,season_to_next,all,False,EDF,10,225,4.778408384846104,4.611381017333599
decile,era,season_to_next,all,False,EDF_z,1,225,-5.747849235182728,3.268850517107841
decile,era,season_to_next,all,False,EDF_z,2,225,-3.3536695692950595,3.538836944127708
decile,era,season_to_next,all,False,EDF_z,3,225,-2.1593624180914452,3.815640311269094
decile,era,season_to_next,all,False,EDF_z,4,224,-1.2331332358752607,3.8468064254322156
decile,era,season_to_next,all,False,EDF_z,5,225,-0.48431774851112597,4.109991897173543
decile,era,season_to_next,all,False,EDF_z,6,225,0.3213172757975912,4.175839545070314
decile,era,season_to_next,all,False,EDF_z,7,224,1.0850929147431596,4.201901743264659
decile,era,season_to_next,all,False,EDF_z,8,225,1.87429957625689,4.298161764705883
decile,era,season_to_next,all,False,EDF_z,9,225,3.0177566791354145,4.437058540447397
decile,era,season_to_next,all,False,EDF_z,10,225,5.226032979710075,4.542682832171631
decile,era,season_to_next,all,False,ERA,1,225,2.0260877351465623,3.529837875129355
decile,era,season_to_next,all,False,ERA,2,225,2.746868697865881,3.746358852486844
decile,era,season_to_next,all,False,ERA,3,225,3.113293608999996,3.674972693511979
decile,era,season_to_next,all,False,ERA,4,224,3.40752923314191,3.83308179897374
decile,era,season_to_next,all,False,ERA,5,225,3.676606435130803,4.0406741061261675
decile,era,season_to_next,all,False,ERA,6,225,3.9595287359801166,4.122578040904198
decile,era,season_to_next,all,False,ERA,7,224,4.26657882183351,4.276511146520528
decile,era,season_to_next,all,False,ERA,8,225,4.5987363996979385,4.1909374337863605
decile,era,season_to_next,all,False,ERA,9,225,5.068923278408713,4.341919066534261
decile,era,season_to_next,all,False,ERA,10,225,6.120615713321176,4.357081918130161
decile,era,season_to_next,all,False,ERA_reg,1,225,3.0620679514055813,3.6067670215552434
decile,era,season_to_next,all,False,ERA_reg,2,225,3.4081437056149126,3.6966752646653904
decile,era,season_to_next,all,False,ERA_reg,3,225,3.5643152555595305,3.7037234543116164
decile,era,season_to_next,all,False,ERA_reg,4,224,3.6883900908518155,3.8953762716019127
decile,era,season_to_next,all,False,ERA_reg,5,225,3.7942061852953355,4.093939842939695
decile,era,season_to_next,all,False,ERA_reg,6,225,3.901959090791276,4.0655474959105105
decile,era,season_to_next,all,False,ERA_reg,7,224,4.022612102518598,4.141722488038278
decile,era,season_to_next,all,False,ERA_reg,8,225,4.158687392798392,4.267459549163324
decile,era,season_to_next,all,False,ERA_reg,9,225,4.350254425624231,4.225257580217838
decile,era,season_to_next,all,False,ERA_reg,10,225,4.793124336056139,4.4723779732042725
decile,era,season_to_next,all,False,HR9,1,225,0.3873950338666811,3.6335086724417764
decile,era,season_to_next,all,False,HR9,2,225,0.6406193173861026,3.7601086897842406
decile,era,season_to_next,all,False,HR9,3,225,0.7988471324905865,3.906703675404263
decile,era,season_to_next,all,False,HR9,4,224,0.9276829791845628,3.810748221027664
decile,era,season_to_next,all,False,HR9,5,225,1.0341068442644197,4.012541806020067
decile,era,season_to_next,all,False,HR9,6,225,1.1381095817707616,4.139994803245085
decile,era,season_to_next,all,False,HR9,7,224,1.2503025719398018,4.04377789732331
decile,era,season_to_next,all,False,HR9,8,225,1.3837230362125073,4.13905317031561
decile,era,season_to_next,all,False,HR9,9,225,1.5564166648033186,4.341065741312925
decile,era,season_to_next,all,False,HR9,10,225,1.9927437935071888,4.307505141045162
decile,era,season_to_next,all,False,HR9_reg,1,225,0.8126883242303342,3.3100636205899363
decile,era,season_to_next,all,False,HR9_reg,2,225,0.9172495101933029,3.559263348052991
decile,era,season_to_next,all,False,HR9_reg,3,225,0.9676723828784601,3.8414245216158758
decile,era,season_to_next,all,False,HR9_reg,4,224,1.0083787445728103,3.900201691708751
decile,era,season_to_next,all,False,HR9_reg,5,225,1.0440063146503138,3.888761568973116
decile,era,season_to_next,all,False,HR9_reg,6,225,1.0800044992132218,4.109143979486061
decile,era,season_to_next,all,False,HR9_reg,7,224,1.1133042576534904,4.198784569314779
decile,era,season_to_next,all,False,HR9_reg,8,225,1.1511777744116383,4.228839881969249
decile,era,season_to_next,all,False,HR9_reg,9,225,1.2047253301378704,4.45244751931005
decile,era,season_to_next,all,False,HR9_reg,10,225,1.2996033213889904,4.50598002179983
decile,era,season_to_next,all,False,KBB,1,225,0.2705324774457808,3.1959651356380374
decile,era,season_to_next,all,False,KBB,2,225,0.2141448044973959,3.627741633583408
decile,era,season_to_next,all,False,KBB,3,225,0.18983088313313293,3.784562532883538
decile,era,season_to_next,all,False,KBB,4,224,0.17267977293131848,3.8493461664049256
decile,era,season_to_next,all,False,KBB,5,225,0.15650066675378607,4.040274909755828
decile,era,season_to_next,all,False,KBB,6,225,0.14157649126880661,4.193805183708346
decile,era,season_to_next,all,False,KBB,7,224,0.12887867564132555,4.189749590451673
decile,era,season_to_next,all,False,KBB,8,225,0.11298967490433666,4.314515084811601
decile,era,season_to_next,all,False,KBB,9,225,0.0939568970998432,4.427953460620525
decile,era,season_to_next,all,False,KBB,10,225,0.058020556201497056,4.594771241830065
decile,era,season_to_next,all,False,KBB_best_plus_pWHIP_plus_HR9_reg,1,225,0.18966843921125473,3.3449595646203147
decile,era,season_to_next,all,False,KBB_best_plus_pWHIP_plus_HR9_reg,2,225,0.16938780664779782,3.706140017338667
decile,era,season_to_next,all,False,KBB_best_plus_pWHIP_plus_HR9_reg,3,225,0.16067312964756983,3.8359095574285442
decile,era,season_to_next,all,False,KBB_best_plus_pWHIP_plus_HR9_reg,4,224,0.15410050679932402,3.9308804457466735
decile,era,season_to_next,all,False,KBB_best_plus_pWHIP_plus_HR9_reg,5,225,0.1481729960409541,4.052003980229353
