target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
era,season_to_next,all,False,ERA,era,2248,9,1.115558995457671,1.262341840457245,0.8673115422476516,0.9796148091510154,0.19339510574095833,0.21268163420729463,0.03934792996559178
era,season_to_next,all,False,ERA_reg,ERA_reg,2248,9,1.1102512357938326,1.2572049725123917,0.8621268248477914,0.975011933807125,0.20931396396718818,0.21960513983779553,0.04846762723209097
era,season_to_next,all,False,WHIP,whip,2248,9,1.1169495818399218,1.2649118906225247,0.8622218770746244,0.9762274474567612,0.19230034978075417,0.19859536364380984,0.03695145914136866
era,season_to_next,all,False,WHIP_reg,WHIP_reg,2248,9,1.1106182507370035,1.2584159465371378,0.8552691034486846,0.9707856083084445,0.20853150402401752,0.20773742991291194,0.04783842852418141
era,season_to_next,all,False,xWHIP_lgBABIP,xwhip_lgbabip,2248,9,1.1052581993790287,1.2534504835425904,0.8489160271652121,0.9644385340372815,0.23665504255736436,0.2452453289700554,0.05700687028636742
era,season_to_next,all,False,pWHIP,pWHIP,2248,9,1.1048888600628548,1.2530824796972342,0.848139526695476,0.964242583252955,0.23522155105924525,0.24087804574351301,0.057636996795330186
era,season_to_next,all,False,KBB,kbb,2248,9,1.0742135556087304,1.2299269908313812,0.8232247317388551,0.9427620714362732,0.30214687140236185,0.29816999616196743,0.10923674255340377
era,season_to_next,all,False,KBB_reg_best,KBB_reg_direct,2248,9,1.0708896007865334,1.2252884486140692,0.8207094546848042,0.9394482706904754,0.30864534974126245,0.30586934289832307,0.11474081741478481
era,season_to_next,all,False,CCR,CCR,2248,9,1.1233601295502138,1.27202203953767,0.8682389072897055,0.9849942440680981,0.1522774706626888,0.14618774761456999,0.025865220165090963
era,season_to_next,all,False,WAI,WAI,2248,9,1.0971504671691477,1.2471172512996673,0.8403987800621108,0.9583053011299906,0.25137309327445256,0.25272654036082765,0.0707909679371983
era,season_to_next,all,False,HR9,hr9,2248,9,1.127655029446793,1.2704565067944709,0.879607163179185,0.9874554009229952,0.15179515197853638,0.1642662891780415,0.01840223628657478
era,season_to_next,all,False,HR9_reg,HR9_reg,2248,9,1.076943008276121,1.2280296886210789,0.8345702397377273,0.9471704621000899,0.30429211759547803,0.306231907262101,0.10470433843729965
era,season_to_next,all,False,EDF,EDF,2248,9,1.0630738207104582,1.2168242000657143,0.8196899337112247,0.9369549646801965,0.32824239158907415,0.3275867530880633,0.12761561290441992
era,season_to_next,all,False,EDF_z,EDF_z,2248,9,1.0787132804942507,1.228921357103059,0.8281029183257222,0.9447226107911229,0.29803637146971707,0.29907299982135155,0.10175855641750886
era,season_to_next,all,False,KBB_best_plus_pWHIP_plus_HR9_reg,KBB_reg_component+pWHIP+HR9_reg,2248,9,1.0616802476802245,1.215102177951164,0.8191638334036431,0.9365043636229808,0.33169231265737675,0.3296656775736038,0.1299013140195051
era,season_to_next,all,False,KBB_best_plus_pWHIP_plus_HR9_reg_plus_ERA_reg,KBB_reg_component+pWHIP+HR9_reg+ERA_reg,2248,9,1.0630738207104575,1.2168242000657146,0.8196899337112237,0.9369549646801965,0.32824239158907537,0.3275867530880633,0.12761561290442125
era,season_to_next,starter,False,ERA,era,812,9,0.9952048615193175,1.0832347414662449,0.779326222695648,0.8403866714289134,0.21518401148049016,0.23847832995987286,0.06130769931436286
era,season_to_next,starter,False,ERA_reg,ERA_reg,812,9,0.9934688617833386,1.0803308208015943,0.7774698979667691,0.8379519182162853,0.22306380139037743,0.23976477427322085,0.06457968555093174
era,season_to_next,starter,False,WHIP,whip,812,9,0.9892440833601924,1.0755629231097104,0.7686991535789733,0.82937956689743,0.25020435818969433,0.2713672274747978,0.0725186170849903
era,season_to_next,starter,False,WHIP_reg,WHIP_reg,812,9,0.9868319363072737,1.0719695429438052,0.7678859358040174,0.8278084055712338,0.2587838055643478,0.27047677212293975,0.0770361955687453
era,season_to_next,starter,False,xWHIP_lgBABIP,xwhip_lgbabip,812,9,0.9730369352196017,1.0611012622585954,0.7517712254554271,0.8150823671026581,0.3027152576206316,0.31304555942360185,0.1026602018527194
era,season_to_next,starter,False,pWHIP,pWHIP,812,9,0.9733252132286889,1.0612675367523519,0.751717806814839,0.8148947223105502,0.30159259604006633,0.3112172049649723,0.10212842008639411
era,season_to_next,starter,False,KBB,kbb,812,9,0.9362104886183149,1.0251209633024738,0.721344154453541,0.7849613891767552,0.38822255590955723,0.3900472925589747,0.16929794910138873
