target,scenario,split,exclude_2020,model,features,n,periods,weighted_rmse,rmse,weighted_mae,mae,pearson,spearman,oos_r2
whip,season_to_next,all,False,WHIP,whip,2248,9,0.18972797650163864,0.21007897915777096,0.14822950728718762,0.16380379755917146,0.26933667135800043,0.27965696267814216,0.08190853013554356
whip,season_to_next,all,False,WHIP_reg,WHIP_reg,2248,9,0.18773776547788845,0.20816723526691672,0.14717457661296837,0.16275517515991866,0.2923834133579383,0.2906630289001955,0.10106872281316892
whip,season_to_next,all,False,xWHIP_lgBABIP,xwhip_lgbabip,2248,9,0.1869242507674737,0.20736926954649681,0.14502642589598794,0.1608865544143656,0.3150018166397629,0.32678294961712423,0.10884243180820208
whip,season_to_next,all,False,pWHIP,pWHIP,2248,9,0.18660557407492526,0.20714176839174936,0.14476918490354984,0.1606796482344611,0.3157977817076301,0.3237015725671055,0.11187841098052409
whip,season_to_next,all,False,KBB,kbb,2248,9,0.17950286185238631,0.20203525278227358,0.1396122639016539,0.15702021710921954,0.37996699165332876,0.3669552599492277,0.17820034123129247
whip,season_to_next,all,False,KBB_reg_direct,KBB_reg_direct,2248,9,0.1778903833845714,0.2002021123095762,0.13833664235151674,0.1555574526245347,0.3938547200850451,0.3794214408538679,0.19289851801555957
whip,season_to_next,all,False,KBB_reg_component,KBB_reg_component,2248,9,0.1795982858863477,0.20129802359153462,0.13897222606068452,0.15581725892019638,0.3796769995167973,0.3713922235943166,0.17732636873087204
whip,season_to_next,all,False,CCR,CCR,2248,9,0.1883001128206043,0.20808553312193773,0.14719843472016114,0.162292380880013,0.2939467279986891,0.29340184347480003,0.09567536239588759
whip,season_to_next,all,False,WSI_raw,wsi_raw,2248,9,0.1808323489773216,0.20337220219261348,0.14041565831431227,0.15780760903124666,0.3686927980756294,0.3608979344446591,0.16598194962132184
whip,season_to_next,all,False,WSI_xWHIP_lgBABIP,wsi_xlgbabip,2248,9,0.1801180510445635,0.20250053701230486,0.13986266181187285,0.15718778145884707,0.37666718711364056,0.36745145452906935,0.1725577727481058
whip,season_to_next,all,False,WSI_reg_tuned,WSI_reg_tuned,2248,9,0.17988166291881885,0.20147231718712344,0.1393367144739703,0.15597005979986578,0.3772726869287217,0.36483499004095016,0.17472822889493256
