captureDate,slateDate,source,sourceUrl,draftGroupId,contestTypeId,position,namePlusId,dkName,dkPlayerId,rosterPosition,salary,gameInfo,teamAbbrev,avgPointsPerGame,mlbamId,mlbName,mlbTeamAbbrev,mlbPrimaryPosition,joinStatus,joinMethod,joinNote
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Jacob Misiorowski (43248105),Jacob Misiorowski,43248105,P,11500,MIL@ATH 06/09/2026 10:05PM ET,MIL,28.27,694819,Jacob Misiorowski,MIL,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Cristopher Sanchez (43248106),Cristopher Sanchez,43248106,P,11200,PHI@TOR 06/09/2026 07:07PM ET,PHI,26.79,650911,Cristopher Sánchez,PHI,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Zack Wheeler (43247674),Zack Wheeler,43247674,P,10700,PHI@TOR 06/09/2026 07:07PM ET,PHI,22.28,554430,Zack Wheeler,PHI,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,RP,Kyle Harrison (43248108),Kyle Harrison,43248108,P,10500,MIL@ATH 06/09/2026 10:05PM ET,MIL,22.34,690986,Kyle Harrison,MIL,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Chris Sale (43248107),Chris Sale,43248107,P,10500,ATL@CWS 06/09/2026 07:40PM ET,ATL,23.52,519242,Chris Sale,ATL,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Chase Burns (43247675),Chase Burns,43247675,P,10500,CIN@SD 06/09/2026 09:40PM ET,CIN,23.00,695505,Chase Burns,CIN,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,RP,Spencer Strider (43248109),Spencer Strider,43248109,P,10000,ATL@CWS 06/09/2026 07:40PM ET,ATL,17.63,675911,Spencer Strider,ATL,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Jose Soriano (43248110),Jose Soriano,43248110,P,9800,HOU@LAA 06/09/2026 09:38PM ET,LAA,19.25,667755,José Soriano,LAA,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Dylan Cease (43247676),Dylan Cease,43247676,P,9700,PHI@TOR 06/09/2026 07:07PM ET,TOR,22.43,656302,Dylan Cease,TOR,P,matched,normalized_name_team,
2026-06-09,2026-06-09,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149042,149042,9,SP,Hunter Brown (43248111),Hunter Brown,43248111,P,9600,HOU@LAA 06/09/2026 09:38PM ET,HOU,26.7,686613,Hunter Brown,HOU,P,matched,normalized_name_team,
