slateDate,draftGroupId,contestTypeId,dkPlayerId,dkName,position,rosterPosition,teamAbbrev,salary,gameInfo,reviewReason,mapDkName,mapMlbamId,mapMlbName
2026-06-10,149074,9,43256403,Jacob Misiorowski,SP,P,MIL,11500,MIL@ATH 06/10/2026 09:05PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256066,Chris Sale,SP,P,ATL,11000,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256406,Kyle Harrison,RP,P,MIL,10500,MIL@ATH 06/10/2026 09:05PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256404,Cristopher Sanchez,SP,P,PHI,10500,PHI@TOR 06/10/2026 07:07PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256405,Zack Wheeler,SP,P,PHI,10500,PHI@TOR 06/10/2026 07:07PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256407,Spencer Strider,RP,P,ATL,10000,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256408,Spencer Schwellenbach,SP,P,ATL,10000,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256409,Jacob deGrom,SP,P,TEX,9800,TEX@KC 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256410,Dylan Cease,SP,P,TOR,9500,PHI@TOR 06/10/2026 07:07PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256067,Davis Martin,SP,P,CWS,9500,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256411,Jose Soriano,SP,P,LAA,9500,HOU@LAA 06/10/2026 09:38PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256412,Freddy Peralta,SP,P,NYM,9300,STL@NYM 06/10/2026 07:10PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256413,Nolan McLean,SP,P,NYM,9300,STL@NYM 06/10/2026 07:10PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256414,Clay Holmes,RP,P,NYM,9300,STL@NYM 06/10/2026 07:10PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256415,Hunter Brown,SP,P,HOU,9200,HOU@LAA 06/10/2026 09:38PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256416,Spencer Arrighetti,SP,P,HOU,9200,HOU@LAA 06/10/2026 09:38PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256417,AJ Smith-Shawver,RP,P,ATL,9000,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256418,Hurston Waldrep,SP,P,ATL,9000,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256419,Nathan Eovaldi,SP,P,TEX,8800,TEX@KC 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256420,Cole Ragans,SP,P,KC,8600,TEX@KC 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256423,Brandon Woodruff,SP,P,MIL,8500,MIL@ATH 06/10/2026 09:05PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256424,Logan Henderson,SP,P,MIL,8500,MIL@ATH 06/10/2026 09:05PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256068,Jesus Luzardo,SP,P,PHI,8500,PHI@TOR 06/10/2026 07:07PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256421,Kevin Gausman,SP,P,TOR,8500,PHI@TOR 06/10/2026 07:07PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256422,Trey Yesavage,SP,P,TOR,8500,PHI@TOR 06/10/2026 07:07PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256425,Kodai Senga,SP,P,NYM,8300,STL@NYM 06/10/2026 07:10PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256426,Tylor Megill,SP,P,NYM,8300,STL@NYM 06/10/2026 07:10PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256069,Peter Lambert,SP,P,HOU,8200,HOU@LAA 06/10/2026 09:38PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256427,Ronel Blanco,SP,P,HOU,8200,HOU@LAA 06/10/2026 09:38PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256428,Brandon Walter,SP,P,HOU,8200,HOU@LAA 06/10/2026 09:38PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256429,Kris Bubic,SP,P,KC,8100,TEX@KC 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256430,Bryce Elder,SP,P,ATL,8000,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256431,Reynaldo Lopez,RP,P,ATL,8000,ATL@CWS 06/10/2026 07:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256070,Shota Imanaga,SP,P,CHC,8000,CHC@COL 06/10/2026 08:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256432,Ben Brown,RP,P,CHC,8000,CHC@COL 06/10/2026 08:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256433,Justin Steele,SP,P,CHC,8000,CHC@COL 06/10/2026 08:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256434,Edward Cabrera,SP,P,CHC,8000,CHC@COL 06/10/2026 08:40PM ET,unmapped_dk_id,,,
2026-06-10,149074,9,43256435,Matthew Boyd,SP,P,CHC,8000,CHC@COL 06/10/2026 08:40PM ET,unmapped_dk_id,,,
