captureDate,capturedAtUtc,slateDate,source,sourceUrl,draftGroupId,contestTypeId,selectionReason,position,namePlusId,dkName,dkPlayerId,rosterPosition,salary,gameInfo,gameDateTimeEt,teamAbbrev,opponent,homeAway,avgPointsPerGame,mlbamId,mlbName,joinStatus,joinMethod,joinNote
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jacob Misiorowski (43256403),Jacob Misiorowski,43256403,P,11500,MIL@ATH 06/10/2026 09:05PM ET,06/10/2026 09:05PM ET,MIL,ATH,away,28.27,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Chris Sale (43256066),Chris Sale,43256066,P,11000,ATL@CWS 06/10/2026 07:40PM ET,06/10/2026 07:40PM ET,ATL,CWS,away,23.52,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Kyle Harrison (43256406),Kyle Harrison,43256406,P,10500,MIL@ATH 06/10/2026 09:05PM ET,06/10/2026 09:05PM ET,MIL,ATH,away,19.75,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Cristopher Sanchez (43256404),Cristopher Sanchez,43256404,P,10500,PHI@TOR 06/10/2026 07:07PM ET,06/10/2026 07:07PM ET,PHI,TOR,away,27.21,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Zack Wheeler (43256405),Zack Wheeler,43256405,P,10500,PHI@TOR 06/10/2026 07:07PM ET,06/10/2026 07:07PM ET,PHI,TOR,away,22.28,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,RP,Spencer Strider (43256407),Spencer Strider,43256407,P,10000,ATL@CWS 06/10/2026 07:40PM ET,06/10/2026 07:40PM ET,ATL,CWS,away,17.63,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Spencer Schwellenbach (43256408),Spencer Schwellenbach,43256408,P,10000,ATL@CWS 06/10/2026 07:40PM ET,06/10/2026 07:40PM ET,ATL,CWS,away,0,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jacob deGrom (43256409),Jacob deGrom,43256409,P,9800,TEX@KC 06/10/2026 07:40PM ET,06/10/2026 07:40PM ET,TEX,KC,away,19.62,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Dylan Cease (43256410),Dylan Cease,43256410,P,9500,PHI@TOR 06/10/2026 07:07PM ET,06/10/2026 07:07PM ET,TOR,PHI,home,22.43,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Davis Martin (43256067),Davis Martin,43256067,P,9500,ATL@CWS 06/10/2026 07:40PM ET,06/10/2026 07:40PM ET,CWS,ATL,home,20.75,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
2026-06-09,2026-06-10T01:12:38.495619+00:00,2026-06-10,DraftKings official lineup CSV,https://www.draftkings.com/lineup/getavailableplayerscsv?contestTypeId=9&draftGroupId=149074,149074,9,Selected largest-prize regular Classic MLB draft group after excluding Turbo/Night/qualifier/satellite/showdown/snake/single-stat slates.,SP,Jose Soriano (43256411),Jose Soriano,43256411,P,9500,HOU@LAA 06/10/2026 09:38PM ET,06/10/2026 09:38PM ET,LAA,HOU,home,19.25,,,needs_review_unmapped_dk_id,dk_player_map,No reviewed DK player map entry; do not auto-guess.
