slate_date,selected_slate_date,draft_group_id,contest_name,slate_type,salary_rows,review_rows,capture_status,captured_at_utc,salary_csv_path,review_csv_path
2026-06-10,2026-06-10,,,classic,641,641,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-10.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-10-review.csv
2026-06-16,2026-06-16,,,classic,1103,391,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-16.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-16-review.csv
2026-06-17,2026-06-17,,,classic,636,269,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-17.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-17-review.csv
2026-06-19,2026-06-19,,,classic,1097,446,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-19.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-19-review.csv
2026-06-20,2026-06-20,,,classic,651,118,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-20.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-20-review.csv
2026-06-21,2026-06-21,,,classic,823,164,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-21.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-21-review.csv
2026-06-22,2026-06-22,,,classic,838,268,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-22.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-22-review.csv
2026-06-23,2026-06-23,,,classic,837,270,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-23.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-23-review.csv
2026-06-24,2026-06-24,,,classic,649,132,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-24.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-24-review.csv
2026-06-25,2026-06-25,,,classic,554,164,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-25.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-25-review.csv
2026-06-26,2026-06-26,,,classic,1197,416,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-26.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-26-review.csv
2026-06-27,2026-06-27,,,classic,739,226,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-27.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-27-review.csv
2026-06-28,2026-06-28,,,classic,998,320,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-28.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-28-review.csv
2026-06-29,2026-06-29,,,classic,1020,334,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-29.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-29-review.csv
2026-06-30,2026-06-30,,,classic,1116,351,captured,,data/shadow/dfs-salaries/dk-mlb-2026-06-30.csv,data/shadow/dfs-salaries/dk-mlb-2026-06-30-review.csv
2026-07-01,2026-07-01,,,classic,648,190,captured,,data/shadow/dfs-salaries/dk-mlb-2026-07-01.csv,data/shadow/dfs-salaries/dk-mlb-2026-07-01-review.csv
2026-07-02,2026-07-02,,,classic,557,209,captured,,data/shadow/dfs-salaries/dk-mlb-2026-07-02.csv,data/shadow/dfs-salaries/dk-mlb-2026-07-02-review.csv
