mlbamId,player,normalizedName,team,position,age,dynastyCompositePct,dynastyCompositeRank,sourceCoverage,sourcesRanked,disagreementPctStdDev,rankStdDev,rankRange,bestSource,bestRank,worstSource,worstRank,highestSourcePct,lowestSourcePct,compositeConfidence,contextLabels,fantasyprosRank,fantasyprosDepth,fantasyprosPct,rotowireRank,rotowireDepth,rotowirePct,fantraxRank,fantraxDepth,fantraxPct,rotoballerRank,rotoballerDepth,rotoballerPct,harryknowsballRank,harryknowsballDepth,harryknowsballPct
660271,Shohei Ohtani,shohei ohtani,LAD,,31,0.998325,1,3,fantasypros|fantrax|rotoballer,0.002369,0.471,1,FantasyPros,1,RotoBaller Eric Cross,2,1.0,0.994975,medium coverage,Consensus Favorite,1,300,1.0,,,,1,510,1.0,2,200,0.994975,,,
677951,Bobby Witt Jr.,bobby witt,KC,SS,25,0.99823,2,3,fantasypros|fantrax|rotoballer,0.001372,0.471,1,RotoBaller Eric Cross,1,FantasyPros,2,1.0,0.996656,medium coverage,Consensus Favorite,2,300,0.996656,,,,2,510,0.998035,1,200,1.0,,,
665742,Juan Soto,juan soto,NYM,OF,27,0.990491,3,3,fantasypros|fantrax|rotoballer,0.002116,1.886,4,FantasyPros,3,FantraxHQ,7,0.993311,0.988212,medium coverage,Consensus Favorite,3,300,0.993311,,,,7,510,0.988212,3,200,0.98995,,,
682998,Corbin Carroll,corbin carroll,ARI,,25,0.987046,4,3,fantasypros|fantrax|rotoballer,0.002134,1.886,4,FantasyPros,4,FantraxHQ,8,0.989967,0.984925,medium coverage,Consensus Favorite,4,300,0.989967,,,,8,510,0.986248,4,200,0.984925,,,
682829,Elly De La Cruz,elly de la cruz,CIN,SS,24,0.982947,5,3,fantasypros|fantrax|rotoballer,0.00278,2.357,5,FantasyPros,5,FantraxHQ,10,0.986622,0.979899,medium coverage,Consensus Favorite,5,300,0.986622,,,,10,510,0.982318,5,200,0.979899,,,
694973,Paul Skenes,paul skenes,PIT,SP,,0.979432,6,3,fantasypros|fantrax|rotoballer,0.007627,1.414,3,FantraxHQ,6,FantasyPros,9,0.990177,0.973244,medium coverage,Consensus Favorite,9,300,0.973244,,,,6,510,0.990177,6,200,0.974874,,,
677594,Julio Rodríguez,julio rodriguez,SEA,,25,0.979137,7,3,fantasypros|fantrax|rotoballer,0.00658,1.247,3,FantasyPros,6,FantraxHQ,9,0.984283,0.969849,medium coverage,Consensus Favorite,6,300,0.983278,,,,9,510,0.984283,7,200,0.969849,,,
660670,Ronald Acuna Jr.,ronald acuna,ATL,OF,28,0.976926,8,3,fantasypros|fantrax|rotoballer,0.016993,2.867,7,FantraxHQ,3,RotoBaller Eric Cross,10,0.996071,0.954774,medium coverage,Consensus Favorite,7,300,0.979933,,,,3,510,0.996071,10,200,0.954774,,,
669373,Tarik Skubal,tarik skubal,DET,SP,,0.972277,9,3,fantasypros|fantrax|rotoballer,0.014191,3.3,8,FantraxHQ,5,FantasyPros,13,0.992141,0.959866,medium coverage,Consensus Favorite,13,300,0.959866,,,,5,510,0.992141,8,200,0.964824,,,
592450,Aaron Judge,aaron judge,NYY,,34,0.970142,10,3,fantasypros|fantrax|rotoballer,0.016998,4.082,10,FantraxHQ,4,FantasyPros,14,0.994106,0.956522,medium coverage,Consensus Favorite,14,300,0.956522,,,,4,510,0.994106,9,200,0.959799,,,
691406,Junior Caminero,junior caminero,TB,3B,22,0.963582,11,3,fantasypros|fantrax|rotoballer,0.016911,2.625,6,FantasyPros,8,FantraxHQ,14,0.976589,0.939698,medium coverage,Consensus Favorite,8,300,0.976589,,,,14,510,0.97446,13,200,0.939698,,,
701762,Nick Kurtz,nick kurtz,ATH,1B,23,0.960603,12,3,fantasypros|fantrax|rotoballer,0.011345,2.16,5,FantasyPros,11,FantraxHQ,16,0.97053,0.944724,medium coverage,Consensus Favorite,11,300,0.966555,,,,16,510,0.97053,12,200,0.944724,,,
665487,Fernando Tatis Jr.,fernando tatis,SD,2B/OF,27,0.951768,13,3,fantasypros|fantrax|rotoballer,0.023061,2.055,5,FantasyPros,12,RotoBaller Eric Cross,17,0.972495,0.919598,medium coverage,Consensus Favorite,12,300,0.963211,,,,15,510,0.972495,17,200,0.919598,,,
694192,Jackson Chourio,jackson chourio,MIL,OF,22,0.949262,14,3,fantasypros|fantrax|rotoballer,0.035359,4.784,11,FantasyPros,10,RotoBaller Eric Cross,21,0.978389,0.899497,medium coverage,Consensus Favorite,10,300,0.9699,,,,12,510,0.978389,21,200,0.899497,,,
695578,James Wood,james wood,WSH,OF,23,0.94414,15,3,fantasypros|fantrax|rotoballer,0.014507,2.944,7,RotoBaller Eric Cross,14,FantasyPros,21,0.964637,0.93311,medium coverage,Consensus Favorite,21,300,0.93311,,,,19,510,0.964637,14,200,0.934673,,,
608070,José Ramírez,jose ramirez,CLE,,33,0.938014,16,3,fantasypros|fantrax|rotoballer,0.033653,3.682,9,FantraxHQ,13,RotoBaller Eric Cross,22,0.976424,0.894472,medium coverage,Consensus Favorite,18,300,0.943144,,,,13,510,0.976424,22,200,0.894472,,,
683002,Gunnar Henderson,gunnar henderson,BAL,,24,0.935099,17,3,fantasypros|fantrax|rotoballer,0.032512,3.3,8,FantasyPros,15,RotoBaller Eric Cross,23,0.962672,0.889447,medium coverage,Consensus Favorite,15,300,0.953177,,,,20,510,0.962672,23,200,0.889447,,,
804606,Konnor Griffin,konnor griffin,PIT,SS,20,0.929644,18,3,fantasypros|fantrax|rotoballer,0.014217,12.675,31,RotoBaller Eric Cross,11,FantraxHQ,42,0.949749,0.91945,medium coverage,Consensus Favorite,25,300,0.919732,,,,42,510,0.91945,11,200,0.949749,,,
663656,Kyle Tucker,kyle tucker,LAD,,29,0.928594,19,3,fantasypros|fantrax|rotoballer,0.042449,4.784,11,FantasyPros,16,RotoBaller Eric Cross,27,0.966601,0.869347,medium coverage,Consensus Favorite,16,300,0.949833,,,,18,510,0.966601,27,200,0.869347,,,
670541,Yordan Alvarez,yordan alvarez,HOU,OF,28,0.927918,20,3,fantasypros|fantrax|rotoballer,0.011503,6.799,16,RotoBaller Eric Cross,15,FantraxHQ,31,0.941061,0.913043,medium coverage,Consensus Favorite,27,300,0.913043,,,,31,510,0.941061,15,200,0.929648,,,
665489,Vladimir Guerrero Jr.,vladimir guerrero,TOR,1B,27,0.927579,21,3,fantasypros|fantrax|rotoballer,0.039413,3.859,9,FantraxHQ,17,RotoBaller Eric Cross,26,0.968566,0.874372,medium coverage,Consensus Favorite,19,300,0.939799,,,,17,510,0.968566,26,200,0.874372,,,
676979,Garrett Crochet,garrett crochet,BOS,SP,,0.922018,22,3,fantasypros|fantrax|rotoballer,0.054489,8.179,20,FantraxHQ,11,RotoBaller Eric Cross,31,0.980354,0.849246,medium coverage,Consensus Favorite,20,300,0.936455,,,,11,510,0.980354,31,200,0.849246,,,
701350,Roman Anthony,roman anthony,BOS,OF,,0.919834,23,3,fantasypros|fantrax|rotoballer,0.046629,5.354,13,FantasyPros,17,RotoBaller Eric Cross,30,0.958743,0.854271,medium coverage,Consensus Favorite,17,300,0.946488,,,,22,510,0.958743,30,200,0.854271,,,
650911,Cristopher Sanchez,cristopher sanchez,PHI,SP,,0.905315,24,3,fantasypros|fantrax|rotoballer,0.024058,7.717,18,RotoBaller Eric Cross,20,FantasyPros,38,0.935167,0.876254,medium coverage,Consensus Favorite,38,300,0.876254,,,,34,510,0.935167,20,200,0.904523,,,
808967,Yoshinobu Yamamoto,yoshinobu yamamoto,LAD,SP,,0.901141,25,3,fantasypros|fantrax|rotoballer,0.0445,2.867,7,FantraxHQ,25,RotoBaller Eric Cross,32,0.952849,0.844221,medium coverage,Consensus Favorite,29,300,0.906355,,,,25,510,0.952849,32,200,0.844221,,,
606466,Ketel Marte,ketel marte,ARI,,32,0.899536,26,3,fantasypros|fantrax|rotoballer,0.044031,2.867,7,FantasyPros,26,RotoBaller Eric Cross,33,0.943026,0.839196,medium coverage,Neutral Context,26,300,0.916388,,,,30,510,0.943026,33,200,0.839196,,,
596019,Francisco Lindor,francisco lindor,NYM,SS,32,0.896866,27,3,fantasypros|fantrax|rotoballer,0.054912,5.354,13,FantraxHQ,23,RotoBaller Eric Cross,36,0.956778,0.824121,medium coverage,Neutral Context,28,300,0.909699,,,,23,510,0.956778,36,200,0.824121,,,
682928,CJ Abrams,cj abrams,WSH,SS,25,0.89633,28,3,fantasypros|fantrax|rotoballer,0.011342,9.031,22,RotoBaller Eric Cross,24,FantraxHQ,46,0.911591,0.884422,medium coverage,Neutral Context,33,300,0.892977,,,,46,510,0.911591,24,200,0.884422,,,
805808,Kevin McGonigle,kevin mcgonigle,DET,3B/SS,21,0.893078,29,3,fantasypros|fantrax|rotoballer,0.029942,15.283,35,RotoBaller Eric Cross,16,FantraxHQ,51,0.924623,0.852843,medium coverage,Neutral Context,45,300,0.852843,,,,51,510,0.901768,16,200,0.924623,,,
665862,Jazz Chisholm Jr.,jazz chisholm,NYY,,28,0.880957,30,3,fantasypros|fantrax|rotoballer,0.057922,5.558,13,FantraxHQ,26,RotoBaller Eric Cross,39,0.950884,0.809045,medium coverage,Neutral Context,36,300,0.882943,,,,26,510,0.950884,39,200,0.809045,,,
624413,Pete Alonso,pete alonso,BAL,,31,0.879812,31,3,fantasypros|fantrax|rotoballer,0.056367,3.771,8,FantasyPros,32,RotoBaller Eric Cross,40,0.939096,0.80402,medium coverage,Neutral Context,32,300,0.896321,,,,32,510,0.939096,40,200,0.80402,,,
686613,Hunter Brown,hunter brown,HOU,SP,,0.878906,32,3,fantasypros|fantrax|rotoballer,0.073813,8.832,21,FantraxHQ,24,RotoBaller Eric Cross,45,0.954813,0.778894,medium coverage,Neutral Context,30,300,0.90301,,,,24,510,0.954813,45,200,0.778894,,,
