captureDate,captureTimestampCentral,sourceName,sourceUrl,sourcePublishedDate,sourceRank,sourcePlayerName,sourceTeam,sourcePosition,sourceAge,sourcePlayerId,sourceMlbamId,rawRankType,rawLevel,rawNotes
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,1,Shohei Ohtani,LAD,TWP,31,,,Roto,,pointsRank=1; change=0; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,2,Bobby Witt Jr.,KC,SS,25,,,Roto,,pointsRank=3; change=0; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,3,Ronald Acuna Jr.,ATL,RF,27,,,Roto,,pointsRank=4; change=1; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,4,Aaron Judge,NYY,RF,33,,,Roto,,pointsRank=2; change=2; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,5,Tarik Skubal,DET,SP,29,,,Roto,,pointsRank=5; change=7; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,6,Paul Skenes,PIT,SP,23,,,Roto,,pointsRank=6; change=2; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,7,Juan Soto,NYM,RF,27,,,Roto,,pointsRank=7; change=-4; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,8,Corbin Carroll,AZ,RF,25,,,Roto,,pointsRank=9; change=-1; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,9,Julio Rodriguez,SEA,CF,24,,,Roto,,pointsRank=12; change=10; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,10,Elly De La Cruz,CIN,SS,23,,,Roto,,pointsRank=17; change=-5; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,11,Garrett Crochet,BOS,SP,26,,,Roto,,pointsRank=8; change=11; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,12,Jackson Chourio,MIL,CF,21,,,Roto,,pointsRank=16; change=2; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,13,Jose Ramirez,CLE,3B,33,,,Roto,,pointsRank=11; change=0; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,14,Junior Caminero,TB,3B,22,,,Roto,,pointsRank=10; change=6; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,15,Fernando Tatis Jr.,SD,RF,26,,,Roto,,pointsRank=14; change=-6; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,16,Nick Kurtz,ATH,1B,22,,,Roto,,pointsRank=18; change=33; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,17,Vladimir Guerrero Jr.,TOR,1B,26,,,Roto,,pointsRank=13; change=-1; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,18,Kyle Tucker,FA,RF,28,,,Roto,,pointsRank=21; change=-7; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,19,James Wood,WSH,LF,23,,,Roto,,pointsRank=27; change=-4; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,20,Gunnar Henderson,BAL,SS,24,,,Roto,,pointsRank=23; change=-10; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,21,Cal Raleigh,SEA,C,29,,,Roto,,pointsRank=15; change=21; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,22,Roman Anthony,BOS,RF,21,,,Roto,,pointsRank=52; change=3; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,23,Francisco Lindor,NYM,SS,32,,,Roto,,pointsRank=20; change=-2; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,24,Hunter Brown,HOU,SP,27,,,Roto,,pointsRank=19; change=19; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,25,Yoshinobu Yamamoto,LAD,SP,27,,,Roto,,pointsRank=22; change=7; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,26,Jazz Chisholm Jr.,NYY,2B,27,,,Roto,,pointsRank=30; change=21; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,27,Logan Gilbert,SEA,SP,28,,,Roto,,pointsRank=28; change=4; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,28,Wyatt Langford,TEX,LF,24,,,Roto,,pointsRank=36; change=0; eta=
2026-06-11,2026-06-10T22:17:38-05:00,FantraxHQ,https://www.fantraxhq.com/fantasy-baseball-dynasty-rankings/,2026-02-23,29,Kyle Schwarber,PHI,LF,32,,,Roto,,pointsRank=25; change=21; eta=
