captureDate,captureTimestampCentral,sourceName,sourceUrl,sourcePublishedDate,sourceRank,sourcePlayerName,sourceTeam,sourcePosition,sourceAge,sourcePlayerId,sourceMlbamId,rawRankType,rawLevel,rawNotes
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,1,Bobby Witt Jr.,KCR,SS,25.95,677951,677951,Top 200,,previousRank=1
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,2,Shohei Ohtani,LAD,UT/SP,31.90,660271,660271,Top 200,,previousRank=2
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,3,Juan Soto,NYM,OF,27.59,665742,665742,Top 200,,previousRank=3
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,4,Corbin Carroll,ARI,OF,25.77,682998,682998,Top 200,,previousRank=4
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,5,Elly De La Cruz,CIN,SS,24.37,682829,682829,Top 200,,previousRank=5
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,6,Paul Skenes,PIT,SP,24.00,694973,694973,Top 200,,previousRank=6
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,7,Julio Rodriguez,SEA,OF,25.41,677594,677594,Top 200,,previousRank=9
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,8,Tarik Skubal,DET,SP,29.52,669373,669373,Top 200,,previousRank=7
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,9,Aaron Judge,NYY,OF,34.09,592450,592450,Top 200,,previousRank=12
2026-06-11,2026-06-10T22:17:38-05:00,RotoBaller Eric Cross,https://www.rotoballer.com/top-200-fantasy-baseball-dynasty-rankings-may-2026-update/1867770,2026-06-01,10,Ronald Acuna Jr.,ATL,OF,28.44,660670,660670,Top 200,,previousRank=8
